# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
dws,11455335,Sacramento R Deep Water Ship Channel Near Rio Vista,616657.3,4235072.2,38.25611076,-121.66666661,38.2561111,-121.6666667,,DWS,usgs,
ryi,11455350,Cache Slough at Ryer Island,616525.5,4230277.3,38.21292534,-121.66896051,38.21292541,-121.66896,,RYI,usgs,
srv,11455420,Sacramento R at Rio Vista,614797.6,4223035.8,38.14789966,-121.68986214,38.14789999,-121.6898619,,SRV,usgs,"Proposed Effort to Discontinue; The flow station is under the bridge Red Channel Marker 28, transmitted from the DWR station 100' away. The WQ station is downstream a bit and is not confirmed."
benbr,11455780,Suisun Bay at Benicia Bridge,576633.3,4211159,38.04492027,-122.12663201,38.04492057,-122.1266323,,,usgs,
carqb,11455820,Carquinez Strait at Carquinez Bridge near Crockett,567940.8,4212900.6,38.06130977,-122.22552373,38.0613095,-122.2255241,,,usgs,
napr,11458000,Napa R near Napa,560869,4246934.1,38.36851989,-122.30321277,38.36851973,-122.3032124,,,usgs,
petr,11459150,Petaluma R at Copland Pumping Station,531489.6,4232341.6,38.23852496,-122.64016956,38.23852452,-122.6401691,,,usgs,
dumbr,'373025122065901,San Francisco Bay at Old Dumbarton Bridge,578096,4151478.4,37.50694404,-122.11638919,37.50694444,-122.1163889,,,usgs,
richb,'375607122264701,San Francisco Bay at Richmond-San Rafael Bridge,548648.5,4198778.5,37.93527790,-122.44638832,37.93527778,-122.4463889,,,usgs,
mare,9415218,Mare Island,565785.8,4213847.2,38.06999984,-122.25000012,38.07,-122.25,,,noaa,
ptchi,9415144,Port Chicago,584266.1,4212463.8,38.05600016,-122.03950027,38.056,-122.0395,,,noaa,
#crock,9415143,Crockett,568165,4212568.5,38.05830003,-122.22299987,38.0583,-122.223,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#brad,9414811,Bradmoor Island,594166.8,4226650.2,38.18285942,-121.92479223,38.18285942,-121.9247926,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#mifw,9415112,Mallard Island Ferry Wharf,594942.2,4211171.8,38.04330042,-121.91799996,38.0433,-121.918,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#antn,9415064,Antioch,604013.4,4208696.6,38.01999976,-121.81499977,38.02,-121.815,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
#rvno,9415316,Rio Vista,614614.8,4222711.4,38.14499996,-121.69200006,38.145,-121.692,,,noaa,Very brief and old. Please do not uncomment as it breaks downloaders and is not useful
bts,40,Boynton Slough,582201.4519,4228997,38.20517883,-122.06112435,38.20528,-122.06111,,,dwr_des,
rindg,B95620,San Joaquin River at Rindge Pump,638779.3,4206684.9,37.99721763,-121.41943079,37.99721718,-121.4194314,,,dwr_ncro,
ist,A02100,Sacramento R at I Street,630173.3,4272187.3,38.58863118,-121.50535516,38.57164649,-121.5168395,,IST,dwr_ncro,Not confirmed. This station is pegged to I Street bridge in photos based on description.
gsm,B94100,Georgiana Slough at Mokelumne R,624430.5,4221190.9,38.12999973,-121.58027792,38.13,-121.5802778,,,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District
